Module Name,Fan-Out,Fan-In
__main__,23,0
certifi,0,1
click,0,1
httpx,18,2
httpx.__version__,0,3
httpx._api,5,2
httpx._auth,3,4
httpx._client,13,4
httpx._config,4,6
httpx._content,4,3
httpx._decoders,1,3
httpx._exceptions,1,10
httpx._main,14,2
httpx._models,8,14
httpx._multipart,2,3
httpx._status_codes,0,5
httpx._transports,5,3
httpx._transports.asgi,3,3
httpx._transports.base,1,8
httpx._transports.default,7,4
httpx._transports.mock,2,3
httpx._transports.wsgi,3,3
httpx._types,4,13
httpx._urlparse,2,2
httpx._urls,4,9
httpx._utils,2,7
idna,0,2
pygments,1,4
pygments.lexers,3,3
pygments.util,0,3
rich,2,7
rich.console,2,5
rich.markup,2,2
rich.progress,4,1
rich.syntax,5,2
rich.table,3,4
