Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
.,(default package),MavenWrapperDownloader,3.0,0.0,3.0,3.0,1.1,1.0
.,(default package),A,0.0,0.0,1.0,1.0,0.0,0.0
.,VariableDeclaration,VariableDeclaration,0.0,0.0,8.0,8.0,0.0,-1.0
.,bg,Generics,1.0,0.0,2.0,2.0,0.0,1.0
.,bg,Generics2,3.0,0.0,3.0,3.0,0.0,1.0
.,innerclasses,SC2,3.0,0.0,3.0,3.0,0.0,1.0
.,innerclasses,X,0.0,0.0,1.0,1.0,0.0,0.0
.,innerclasses,MessyClass,105.0,105.0,15.0,15.0,1.0,1.0
.,innerclasses,InnerClass1,1.0,0.0,2.0,2.0,0.0,1.0
.,innerclasses,InnerClass2,3.0,0.0,3.0,3.0,0.0,1.0
.,innerclasses,InnerClass3,0.0,0.0,1.0,1.0,0.0,0.0
.,java11,Java11,1.0,0.0,2.0,1.0,0.0,0.0
.,MethodInvocation,Complex1,55.0,55.0,11.0,6.0,1.0,0.5454545454545454
.,MethodInvocation,Complex2,1.0,1.0,2.0,1.0,1.0,0.0
.,MethodInvocation,Simple2,1.0,0.0,2.0,1.0,0.0,0.0
.,MethodInvocation,GO2,1.0,0.0,2.0,2.0,0.0,1.0
.,cbo,B,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling4,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling8,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling81,0.0,0.0,2.0,2.0,0.0,0.0
.,cbo,Coupling82,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling83,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling9,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,CouplingHelper,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling12,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling5,5.0,4.0,4.0,4.0,1.0,0.75
.,cbo,C,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,NotResolved,15.0,0.0,6.0,6.0,0.0,1.0
.,cbo,Coupling2,1.0,0.0,2.0,2.0,0.0,1.0
.,cbo,Coupling3,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,CInterface,0.0,0.0,0.0,0.0,0.0,-1.0
.,cbo,Coupling0,1.0,0.0,2.0,2.0,0.0,1.0
.,cbo,Coupling1,0.0,0.0,2.0,2.0,0.0,0.0
.,cbo,SampleClassWithStaticMethod,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling6,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling61,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling62,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling63,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling64,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling65,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,MethodParams,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Box,0.0,0.0,1.0,1.0,-0.0,0.0
.,cbo,Coupling11,0.0,0.0,3.0,3.0,0.0,0.0
.,cbo,InnerClass1,0.0,0.0,0.0,0.0,0.0,-1.0
.,cbo,Coupling10,0.0,0.0,1.0,1.0,-0.0,0.0
.,cbo,A,0.0,0.0,1.0,1.0,0.0,0.0
.,cbo,Coupling7,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling71,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling72,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling73,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling74,0.0,0.0,1.0,1.0,0.0,-1.0
.,cbo,Coupling75,0.0,0.0,1.0,1.0,0.0,-1.0
.,dit,D,0.0,0.0,0.0,0.0,0.0,-1.0
.,dit,B,0.0,0.0,0.0,0.0,0.0,-1.0
.,dit,C,0.0,0.0,0.0,0.0,0.0,-1.0
.,dit,D,0.0,0.0,0.0,0.0,0.0,-1.0
.,dit,C2,0.0,0.0,0.0,0.0,0.0,-1.0
.,dit,X,0.0,0.0,0.0,0.0,0.0,-1.0
.,dit,A,0.0,0.0,0.0,0.0,0.0,-1.0
